iter	MultiClass
0	1.086612322
1	1.080434605
2	1.07053742
3	1.059750479
4	1.053768811
5	1.042733064
6	1.034945702
7	1.028216929
8	1.018828794
9	1.012740187
10	1.005323009
11	0.9995855777
12	0.993982987
13	0.9883340242
14	0.9827634144
15	0.9784278703
16	0.9720858112
17	0.9656819253
18	0.9610012098
19	0.956558309
20	0.9512160724
21	0.9464852141
22	0.9431188102
23	0.9388869915
24	0.93307388
25	0.9275924109
26	0.9229685214
27	0.9207956434
28	0.9166791346
29	0.9113012933
30	0.9076865889
31	0.9041546207
32	0.9006190788
33	0.8974500819
34	0.8945194908
35	0.8904308801
36	0.8846935064
37	0.8826425872
38	0.879242478
39	0.876686233
40	0.8732079504
41	0.871400182
42	0.8688781699
43	0.8662016104
44	0.8627930229
45	0.8584010669
46	0.8549216039
47	0.8524899745
48	0.8501540163
49	0.8465802454
50	0.8433343283
51	0.8412812812
52	0.8360050985
53	0.833732022
54	0.8292097724
55	0.8273029185
56	0.8238911728
57	0.8213373924
58	0.8165630115
59	0.8137311814
60	0.8111234898
61	0.8078759863
62	0.8059167944
63	0.8040563494
64	0.8000204132
65	0.7976485721
66	0.7939489417
67	0.7914563965
68	0.7884629511
69	0.7869102584
70	0.7846296031
71	0.7822023454
72	0.7796925451
73	0.7774289816
74	0.7741373352
75	0.7695839931
76	0.7678422366
77	0.7652779295
78	0.7630944929
79	0.7596439774
80	0.7556258371
81	0.7543247931
82	0.752549228
83	0.7481202802
84	0.7464415387
85	0.742788536
86	0.7415718996
87	0.7394910627
88	0.7366710753
89	0.7339859935
90	0.7312679552
91	0.7286234744
92	0.7263358632
93	0.7243945819
94	0.7202305554
95	0.7172605021
96	0.7142294844
97	0.7119123081
98	0.7097493504
99	0.708050443
100	0.7051532621
101	0.7027288247
102	0.7006337027
103	0.6986325429
104	0.6958259968
105	0.692978793
106	0.6905862803
107	0.6877167184
108	0.6845169847
109	0.6822778651
110	0.6813451178
111	0.6794193468
112	0.67686282
113	0.6733212523
114	0.6724452523
115	0.6698294359
116	0.6667264341
117	0.6652001544
118	0.6626316533
119	0.660891126
120	0.6584363394
121	0.6576840466
122	0.6557273733
123	0.6529660939
124	0.6504723206
125	0.6485082969
126	0.6464482308
127	0.6439681315
128	0.6423117706
129	0.6402557853
130	0.6379473785
131	0.6358514227
132	0.6345188812
133	0.6318504318
134	0.6296007531
135	0.6276510935
136	0.6258057497
137	0.624260749
138	0.6219131194
139	0.6190870958
140	0.6170397126
141	0.6153623089
142	0.6126438249
143	0.6114166257
144	0.6092845808
145	0.607146219
146	0.6044232589
147	0.6018493817
148	0.5999021344
149	0.5978422361
150	0.5966709269
151	0.5951348463
152	0.5937002454
153	0.5915346371
154	0.5896689309
155	0.5872096001
156	0.5850341904
157	0.5819045505
158	0.5805049091
159	0.5785212692
160	0.576949647
161	0.5751793424
162	0.573907002
163	0.5724424804
164	0.5708882498
165	0.568438206
166	0.5674947594
167	0.5654424399
168	0.5646158453
169	0.5623444872
170	0.5596296805
171	0.5581265253
172	0.556252292
173	0.5545096812
174	0.5532974932
175	0.5516074344
176	0.549267288
177	0.5481352524
178	0.5465407162
179	0.5440397829
180	0.5422639031
181	0.5411423042
182	0.5385406278
183	0.5377157175
184	0.5360739669
185	0.5338660363
186	0.5323309262
187	0.5306743551
188	0.5293404175
189	0.5275966695
190	0.5262186219
191	0.5242506456
192	0.5210592217
193	0.5206023812
194	0.5196273676
195	0.5187523202
196	0.517648917
197	0.5153077163
198	0.5132786231
199	0.5117015221
200	0.5097847098
201	0.5086173329
202	0.5069079126
203	0.5050675375
204	0.5040986594
205	0.5029619677
206	0.500852863
207	0.4988309718
208	0.4977266882
209	0.4970703433
210	0.4957549308
211	0.494287221
212	0.4921609466
213	0.4907556341
214	0.4892356293
215	0.4876624786
216	0.4857611127
217	0.4839840588
218	0.4824324028
219	0.4813873316
220	0.4806269591
221	0.4791483001
222	0.4777129707
223	0.4759371161
224	0.4742295586
225	0.4727477808
226	0.4712747741
227	0.4706441811
228	0.4696710601
229	0.4685016497
230	0.468046169
231	0.4668563936
232	0.4657147226
233	0.4642214971
234	0.4631966329
235	0.4616798721
236	0.4607436591
237	0.4598981237
238	0.4586864719
239	0.4573102294
240	0.4559361686
241	0.4549269056
242	0.4537795321
243	0.4526668757
244	0.4518087494
245	0.450802087
246	0.4502842054
247	0.449325546
248	0.4484944058
249	0.4475213252
250	0.445839895
251	0.444953622
252	0.4435374155
253	0.4427660006
254	0.4421698942
255	0.4408868835
256	0.4399450751
257	0.4389367897
258	0.4379702455
259	0.436744231
260	0.435522842
261	0.4332916258
262	0.4324190014
263	0.4313045541
264	0.4302540485
265	0.4286201238
266	0.4281389673
